Brand_info,All_vegan,Partial_vegan,Bad_parent_company,Black_owned
Anastasia Beverly Hills,False,False,False,False
Ardell,False,False,False,False
Bdellium Tools,False,False,False,False
beautyblender,False,False,False,False
"Beauty Chef, The",False,False,False,False
Blinc,False,False,False,False
Coloured Raine (list of Coloured Raine vegan products),False,True,False,False
Cover FX – 100% vegan,True,False,False,False
Dose of Colors,False,False,False,False
Eye of Horus,False,False,False,False
Festival Face,False,False,False,False
Frank Body (list of Frank Body vegan products),False,True,False,False
Gerard Cosmetics,False,False,False,False
House of Lashes,False,False,False,False
Jeffree Star Cosmetics – 100% vegan,True,False,False,False
Jordana,False,False,False,False
Jouer Cosmetics (list of Jouer Cosmetics vegan products),False,True,False,False
Kitsch,False,False,False,False
Linda Hallberg Cosmetics,False,False,False,False
Luxie Beauty – 100% vegan,True,False,False,False
Makeup Geek,False,False,False,False
Mario Badescu,False,False,False,False
Melt Cosmetics,False,False,False,False
Milani (list of Milani vegan products),False,True,False,False
Nabla,False,False,False,False
Nanshy – 100% vegan,True,False,False,False
NuMe,False,False,False,False
OFRA Cosmetics – 100% vegan,True,False,False,False
"Ordinary, The",False,False,False,False
PUR Cosmetics (list of PUR Cosmetics vegan products),False,True,False,False
RCMA,False,False,False,False
RMS Beauty,False,False,False,False
Sigma Beauty,False,False,False,False
Stila,False,False,False,False
Sugarpill,False,False,False,False
T3,False,False,False,False
theBalm (The Balm),False,False,False,False
Yes To,False,False,False,False
Z Palette,False,False,False,False
Zoeva,False,False,False,False
