Brand_info,All_vegan,Partial_vegan,Bad_parent_company,Black_owned
Alima Pure,False,False,False,False
Anastasia Beverly Hills,False,False,False,False
Antonym,False,False,False,False
Aquis,False,False,False,False
"Aveda – It should be noted that they are cruelty-free, but their parent company is not.",False,False,True,False
Axiology,False,False,False,False
"bare Minerals – It should be noted that they are cruelty-free, but their parent company is not.",False,False,True,False
beautyblender,False,False,False,False
Becca Cosmetics (list of Becca Cosmetics vegan products),False,True,False,False
Bio Ionic,False,False,False,False
butter LONDON,False,False,False,False
"BUXOM – It should be noted that they are cruelty-free, but their parent company is not.",False,False,True,False
Charlotte Tilbury (list of Charlotte Tilbury vegan products),False,True,False,False
COOLA (list of COOLA vegan products),False,True,False,False
Deborah Lippmann,False,False,False,False
"Dermalogica – It should be noted that they are cruelty-free, but their parent company is not.",False,False,True,False
"DevaCurl – It should be noted that they are cruelty-free, but their parent company is not.",False,False,True,False
DryBar,False,False,False,False
Frank Body (list of Frank Body vegan products),False,True,False,False
"Hourglass Cosmetics (list of Hourglass Cosmetics vegan products) – It should be noted that they are cruelty-free, but their parent company is not.",False,True,True,False
Hum Nutrition,False,False,False,False
Indie Lee,False,False,False,False
Jane Iredale,False,False,False,False
Jouer (list of Jouer vegan products),False,True,False,False
Ko Gen Do,False,False,False,False
Kopari (list of Kopari vegan products),False,True,False,False
Kosas,False,False,False,False
"Kylie Skin – 100% vegan It should be noted that they are cruelty-free, but their parent company is not.",True,False,True,False
KYPRIS,False,False,False,False
Lime Crime – 100% vegan,True,False,False,False
Makeup Eraser – 100% vegan,True,False,False,False
Mario Badescu,False,False,False,False
Moon Juice,False,False,False,False
Moroccanoil,False,False,False,False
"Murad – It should be noted that they are cruelty-free, but their parent company is not.",False,False,True,False
NCLA – 100% vegan,True,False,False,False
"Paula’s Choice – It should be noted that they are cruelty-free, but their parent company is not.",False,False,True,False
Perricone MD,False,False,False,False
Pinrose – 100% vegan,True,False,False,False
"REN Skincare – It should be noted that they are cruelty-free, but their parent company is not.",False,False,True,False
RMS Beauty,False,False,False,False
Sigma Beauty,False,False,False,False
"Smashbox (list of Smashbox vegan products) – It should be noted that they are cruelty-free, but their parent company is not.",False,True,True,False
Stila,False,False,False,False
StriVectin,False,False,False,False
Sunday Riley,False,False,False,False
Supergoop!,False,False,False,False
T3,False,False,False,False
Tata Harper (list of Tata Harper vegan products),False,True,False,False
"Too Faced (list of Too Faced vegan products) – It should be noted that they are cruelty-free, but their parent company is not.",False,True,True,False
"Urban Decay (list of Urban Decay vegan products) – It should be noted that they are cruelty-free, but their parent company is not.",False,True,True,False
Wander Beauty,False,False,False,False
