brand_name,available_on_sephora
409,False
Abreva,False
Acqua Di Parma,False
Acuvue,False
"Aesop (Only able to confirm that their finished products are not tested on animals, but they are unable to ensure their items are not tested during production or that the ingredients they use are not tested.)",False
Afta,False
Air Wick,False
AJAX,False
Alberto V05,False
Alessandro,False
Algenist,False
ALL,False
Almay,False
Alterna,False
Always,False
Amazing Cosmetics,False
Amway,False
Andrex,False
Anna Sui,False
Aquafresh,False
Ariel,False
Arm & Hammer,False
Arrid,False
"Art of Shaving, The",False
Artistry Cosmetics,False
Artistry Makeup by Amway,False
ASTOR,False
Aveeno,False
Avon Products (What’s known is Avon is actually two different companies that even have different parent companies – Avon Products and New Avon.),False
Axe,False
Balenciaga,False
Ban,False
Banana Boat,False
Band-Aid,False
Bare Foot by Freeman Beauty,False
Bare Foot Repair by Freeman Beauty,False
Bath & Body Works,False
Batiste,False
Be a Bombshell Cosmetics,False
Beauty 360,False
Bed Head,False
Belloite,False
Benefit,False
Bic,False
Bioderma,False
Biore,False
Biotherm,False
BlistexCillit Bang,False
Bobbi Brown,False
"BrowGal, The",False
Bulgari,False
Burberry,False
Bvlgari,False
c. Booth by Freeman Beauty,False
Calgon,False
Caress,False
Carmex,False
Caudalie,False
Calvin Klein,False
Catwalk by TIGI,False
Cetaphil,False
Chanel,False
Chapstick,False
Cheer,False
Chloe,False
Church & Dwight,False
Cillit Bang,False
Clairol,False
Clarins,False
Clarisonic,False
Clean & Clear,False
Clear Scalp & Hair Therapy,False
Clearasil,False
Clinique,False
Coach,False
Colgate,False
Colgate-Palmolive,False
Collection Cosmetics,False
Collistar,False
Colors in Mood,False
Colorsmash,False
Comet,False
Condensé Paris,False
Consort,False
Coppertone,False
Cottonelle,False
Coty,False
Crabtree & Evelyn,False
Creative Nail Design (CND),False
Crest,False
Curel,False
CVS,False
Davidoff,False
Davines,False
Daz,False
Decorte,False
Degree,False
Demeter Fragrance Library,False
Dermassage,False
Dettol,False
DHC,False
Diesel,False
Dior,False
DKNY,False
Dolce & Gabanna,False
Donna Karan,False
DoTerra,False
Downy,False
Dr. Brandt,False
Dr. Jart,False
Dry Idea,False
DTRT,False
Duck,False
Durex,False
eclos by Freeman Beauty,False
Edge Shave Gel,False
Elie Saab,False
Eisenberg,False
Elizabeth Arden,False
Elle Girl,False
EmergenC,False
Equate,False
Erno Laszlo,False
Escada,False
Essie,False
Estée Edit by Estée Lauder,False
Estee Lauder,False
Eucerin,False
Fabuloso,False
Fairy Dish,False
FCUK,False
Febreze,False
Feeling Beautiful by Freeman Beauty,False
Feeling Legendary by Freeman Beauty,False
Fendi,False
Fenistil,False
Finish,False
Flirt!,False
For Beloved One,False
Forever Living,False
Freeman Beauty,False
Fresh,False
Gain,False
Gillette,False
Giorgio Armani Beauty,False
Givenchy,False
GlamGlow,False
Goldwell,False
Got2Be,False
Green Works,False
Gucci,False
Guerlain,False
Guhl,False
Hansaplast,False
Head & Shoulders,False
Herbalife,False
Herborist,False
Henkel,False
Henri Bendel,False
Hugo,False
Hugo Boss,False
ILLUME,False
Infusium 23,False
Inglot,False
innisfree,False
Ion Professional,False
Irish Spring,False
Ivory,False
J.F. Lazartigu,False
Jergens,False
Jet Dry,False
Jejuen,False
Jimmy Choo,False
Jo Malone,False
Joa Bath and Body,False
John Frieda,False
Johnson & Johnson,False
Juicy Couture,False
June Jacobs,False
Jurlique,False
K.Y.,False
KAO Brands,False
KC Professional,False
Kenzo,False
Kenzoki,False
Keraskin Esthetics,False
Kerastase,False
Kiehl’s,False
Kimberly Clark,False
Kinerase,False
Kirkland Signature (Have stated that their store brand products are private label from a variety of brands that may or may not test on animals. Some brands that were named as suppliers of these products do test on animals.),False
KMS California,False
Kocostar,False
Kose,False
Kotex,False
L’Occitane,False
L’Oreal,False
La Mer,False
La Prarie,False
La Senza,False
Labello,False
Labseries,False
Lady Speed Stick,False
Lady’s Choice,False
Lamisil,False
Lancaster,False
Lancome,False
Laneige,False
Lanvin,False
LaRoche Posay,False
Laura Mercier,False
Le Petit Marseillais,False
Lenor,False
Lever 2000,False
Lipstick Queen,False
Listerine,False
LORAC (Do not verify that their suppliers do not test on animals and are unsure if raw ingredients used are tested on animals or not.),False
Love Beauty & Planet,False
Lubriderm,False
Lysol,False
MAC,False
Maison Margiela Fragrances,False
Makeup For Ever,False
Malin+Goetz,False
Manhattan Cosmetics,False
Marc Jacobs Perfume,False
Mark,False
Mary Kay,False
Matrix,False
Maui Moisture Hair Care,False
Maybelline,False
Max Factor,False
MDSUN,False
Melaleuca,False
Mentadent,False
Miss Sporty,False
Mitchum,False
Mont Blanc,False
Morphe,False
Mr Muscle,False
MUM,False
Murphy Oil Soap,False
Nair,False
NARS,False
Neutrogena,False
New Avon (What’s known is Avon is actually two different companies that even have different parent companies – Avon Products and New Avon.),False
New York Color (NYC),False
Nexxus,False
Nicole by OPI,False
Nina Ricci,False
Nioxin,False
Nivea,False
Noxzema,False
OGX Beauty (formerly Organics),False
Oilatum,False
Ojon,False
Olay,False
Old Spice,False
OPI,False
Oragel,False
Oral B,False
Orange Glo,False
Origins,False
Osis+,False
Oxi Clean,False
Paco Rabanne,False
Palladio,False
Pantene,False
Papaya by Freeman Beauty,False
Pat McGrath Labs,False
Persil,False
Pet Head,False
Peter Thomas Roth,False
Physiogel,False
Phyto,False
Plantae Certified Organic Skin Care,False
Playtex,False
Ponds,False
Prada,False
Prescriptives,False
Psssst! by Freeman Beauty,False
PureHeals,False
Purell,False
Purex,False
Purpose,False
Q-Tips,False
Radox,False
Redken,False
ReFa,False
Renpure,False
Rembrandt,False
Revlon,False
Right Gaurd,False
Roberto Cavalli,False
ROC,False
Rossi & Rossa,False
Sally Hansen,False
Sampar,False
Sarah Chapman,False
Suavitel,False
Schick,False
Schwarzkopf,False
Scope,False
Scrub Free,False
Sebastian,False
Sebastian Professional,False
Secret,False
Senscience,False
Sensodyne,False
Sephora Collection,False
Serious Skin Care,False
Shiseido,False
Shu Uemura,False
Simple Green,False
Simply Beauty,False
Simply Saline,False
Sinful Colors,False
SK-II,False
Skin Bracer,False
Skinfood,False
Skintimate,False
SkinVitals,False
Soft & Dri,False
Softsoap,False
Speed Stick,False
Spinbrush,False
Sulwhasoo,False
Sure Deodorant,False
Talika,False
Tanda,False
Tattoo Beauty,False
Thierry Mugler,False
Tigi,False
Too Cool For School,False
Tous,False
Trojan,False
Tweezerman,False
TYRA Beauty,False
Ultima II,False
Unilever,False
Up & Up,False
Valentino,False
Vanish,False
Vaseline,False
Vasenol,False
Veet,False
Veld’s,False
Vera Wang,False
Versace,False
Victoria’s Secret,False
Victoria’s Secret Pink,False
Vidal Sasson,False
Vita-K Professional by Freeman Beauty,False
Walgreens,False
Wei,False
Wei To Go,False
Wella Professionals,False
Windex,False
Woolite,False
Xtra,False
Yardley,False
Younique,False
YSL,False
Yves Rocher,False
Zegna,False
Zovirax,False
Zotos Professionals,False
