Brand,All_vegan,Partial_vegan,Bad_parent_company,Black_owned,Ulta,Sephora,Beauty_Bay,Cult_Beauty,Nordstrom
100% Pure,False,False,False,False,,,,,
100BON ,True,False,False,False,,,,,
1121 Apothecary ,True,False,False,False,,,,,
21 Drops ,True,False,False,False,,,,,
2B,False,False,False,False,,,,,
2nd KIND ,True,False,False,False,,,,,
"7 Virtues, The ",True,False,False,False,,1.0,,,
8 Greens,False,False,False,False,,1.0,,,
A Girl’s Gotta Spa ,True,False,False,False,,,,,
ABBA Pure Performance Hair Care ,False,False,True,False,,,,,
ACURE ,True,False,False,False,1.0,,,,
AG Care ,True,False,False,False,1.0,,,,
AG Hair Cosmetics,False,False,False,False,,,,,
AILA Cosmetics ,True,False,False,False,,,,,
AURIC,False,False,False,False,,,,,
AYRES ,True,False,False,False,,,,,
AZATURE ,True,False,False,False,,,,,
About Face ,True,False,False,False,1.0,,,,
Ace Beaute ,False,False,False,True,,,,,
Ace Beauté,False,False,False,False,1.0,,,,
Acid-2-Alkaline ,True,False,False,False,,,,,
Activist Skincare ,True,False,False,False,,,,,
Acure ,True,False,False,False,,,,,
Adorn Cosmetics ,True,False,False,False,,,,,
Adwoa Beauty,False,False,False,False,,1.0,,,
Aether Beauty ,True,False,False,False,,,,,
Aether Lashes ,True,False,False,False,,,,,
Aeva Beauty ,False,False,False,True,,,,,
Afrocenchix ,True,False,False,True,,,,,
Ageless Derma,False,False,False,False,,,,,
Ahimsa Naturals ,True,False,False,False,,,,,
Ainhoa Cosmetics,False,False,False,False,,,,,
Akamai ,True,False,False,False,,,,,
Alaska Glacial Mud Co.,False,False,False,False,,,,,
Alba Botanica,False,False,False,False,,,,,
Aldi,False,False,False,False,,,,,
Alexami,False,False,False,False,,,,,
Alima Pure,False,False,False,False,,,,,1.0
"All Natural Face, The ",True,False,False,False,,,,,
All Terrain,False,False,False,False,,,,,
Alma Botanicals,False,False,False,False,,,,,
Alo Glow System ,True,False,False,False,,,,,
Alpyn Beauty,False,False,False,False,,1.0,,,
Ambre Blends,False,False,False,False,,,,,
Amika,False,False,False,False,,1.0,,,
Amopé,False,False,False,False,,,,,
Anastasia Beverly Hills,False,False,False,False,1.0,1.0,1.0,1.0,1.0
Andalou Naturals,False,False,False,False,1.0,,,,
Anita Grant ,False,False,False,True,,,,,
Annabelle Minerals,False,False,False,False,,,,,
Annmarie Gianni Skin Care,False,False,False,False,,,,,
Antipodes,False,False,False,False,,,,,
Antonym,False,False,False,False,,1.0,,,1.0
Antonym Cosmetics,False,False,False,False,,,,,
Apoterra Skincare,False,False,False,False,,,,,
Apothecary 90291,False,False,False,False,,,,,
Aquis,False,False,False,False,1.0,1.0,,,1.0
Arbonne ,True,False,False,False,,,,,
Arctic Fox ,True,False,False,False,1.0,,,,
Ardell,False,False,False,False,1.0,,1.0,,
"Argan Tree, The",False,False,False,False,,,,,
Ariana Grande,False,False,False,False,1.0,,,,
Ariana Grande Fragrances,False,False,False,False,,,,,
Aromi ,True,False,False,False,,,,,
Aster + Bay,False,False,False,False,,,,,
Astonish Cleaning Products ,True,False,False,False,,,,,
Athar’a ,True,False,False,False,,,,,
Athena Club,False,False,False,False,,,,,
Athr Beauty (formerly Aether Beauty) ,True,False,False,False,,1.0,,,
Au Naturale ,True,False,False,False,,,,,
Aubrey Organics,False,False,False,False,,,,,
Aunt Fannie’s,False,False,False,False,,,,,
Aura Cacia,False,False,False,False,,,,,
Auromere,False,False,False,False,,,,,
Authentic Beauty Concept ,True,False,False,False,,,,,
Avalon Organics,False,False,False,False,,,,,
Aveda,True,False,True,False,,1.0,,,
Aveda ,False,False,True,False,,,,,1.0
Aveda ,False,False,True,False,,,,,
Awake Beauty ,False,False,True,False,,,,,
Axiology,False,False,False,False,,,,,1.0
Axiology ,True,False,False,False,1.0,,,,
Aya Natural ,True,False,False,False,,,,,
Azelique Cosmetics ,True,False,False,False,,,,,
B. by Superdrug,False,False,False,False,,,,,
BECCA Cosmetics ,False,True,True,False,,,,1.0,
BH Cosmetics,False,False,False,False,1.0,,,,
BUXOM ,False,False,True,False,,,,,1.0
BYBI Beauty ,True,False,False,False,,,,,
Babo Botanicals,False,False,False,False,1.0,,,,
Babyliss,False,False,False,False,,,,,
Bach Original Flower Remedies,False,False,False,False,,,,,
Baiser Beauty,False,False,False,False,,,,,
Balanced Guru,False,False,False,False,,,,,
Balm Balm,False,False,False,False,,,,,
"Balm, The",False,False,False,False,,1.0,,,
"Balm, The (theBalm)",False,False,False,False,,,,,
Bare Bones Body Care ,True,False,False,False,,,,,
Bare Republic,False,False,False,False,,,,,
Barefaced Beauty,False,False,False,False,,,,,
Barely Cosmetics ,True,False,False,False,,,,,
Barry M,False,False,False,False,,,,,
Bask & Co ,True,False,False,False,,,,,
Bask Suncare ,True,False,False,False,,,,,
"Bath, Body, Candle Moments",False,False,False,False,,,,,
Bdellium Tools,False,False,False,False,,,1.0,,
Beast,False,False,False,False,1.0,,,,
Beautisol ,True,False,False,False,,,,,
Beauty Bakerie,False,False,False,False,1.0,,,,
Beauty Bakerie ,False,False,False,True,,,,,
Beauty Bay,False,False,False,False,,,,,
Beauty Blender,False,False,False,False,,,,,
Beauty By Stony ,False,False,False,True,,,,,
"Beauty Chef, The",False,False,False,False,,1.0,1.0,1.0,
Beauty Without Cruelty ,True,False,False,False,,,,,
Beauty by Earth,False,False,False,False,,,,,
BeautyStat Cosmetics ,False,False,False,True,,,,,
Beautycounter,False,False,False,False,,,,,
Becca Cosmetics ,False,True,False,False,,,,,1.0
Bedrock & Bloom ,True,False,False,False,,,,,
Bella Mari ,True,False,False,False,,,,,
BellaPierre,False,False,False,False,,,,,
Ben Nye Makeup,False,False,False,False,,,,,
Besamé Cosmetics,False,False,False,False,,,,,
Biconi,False,False,False,False,,,,,
Bili Beauty ,True,False,False,False,,,,,
Billie ,True,False,False,False,,,,,
Bio Follicle ,True,False,False,False,,,,,
Bio Ionic,False,False,False,False,1.0,1.0,,1.0,1.0
Bio Ionic ,False,False,False,False,,,,,
BioClarity ,True,False,False,False,,,,,
Biokleen ,True,False,False,False,,,,,
Biom,False,False,False,False,,,,,
Biossance ,True,False,False,False,,1.0,,,
Bite Beauty ,True,False,False,False,,1.0,,,
Black Dahlia Lacquer ,True,False,False,False,,,,,
Black Moon Cosmetics ,True,False,False,False,,,,,
Black Phoenix Alchemy Lab,False,False,False,False,,,,,
Blackbird Cosmetics ,True,False,False,False,,,,,
Blinc,False,False,False,False,,1.0,1.0,,
Bliss,False,False,False,False,1.0,,,,
Blissoma,False,False,False,False,,,,,
Blu Ink Nail Lacquer ,True,False,False,False,,,,,
Blue Beautifly ,True,False,False,False,,,,,
Blue Labelle ,True,False,False,False,,,,,
"Body Shop, The",False,False,False,False,1.0,,,,
"Bold Brand, The ",False,False,False,True,,,,,
Bon Ami,False,False,False,False,,,,,
Bonne Belle,False,False,False,False,,,,,
Borika Body ,True,False,False,False,,,,,
Boscia,False,False,False,False,1.0,1.0,,,
Bossy Cosmetics (Bossy Lipstick) ,False,False,False,True,,,,,
Botanic Organic,False,False,False,False,,,,,
Box Naturals ,True,False,False,False,,,,,
Brianna’s Handmade Soap ,True,False,False,False,,,,,
Bright Planet,False,False,False,False,,,,,
Briogeo ,False,False,True,False,1.0,,,1.0,
Briogeo ,False,False,True,False,,,,,
Brixy ,True,False,False,False,,,,,
Bronze Buffer ,True,False,False,False,,,,,
Buddha Beauty ,True,False,False,False,,,,,
Bulldog Skincare for Men ,True,False,False,False,,,,,
Burke & Hare Co ,True,False,False,False,,,,,
Burst Oral Care ,True,False,False,False,,,,,
Burt’s Bees ,False,False,True,False,,1.0,,,
Burt’s Bees ,False,False,True,False,1.0,,,,
ButterLondon,False,False,False,False,,,,,
Buxom ,False,False,True,False,,1.0,,,
Buxom ,False,False,True,False,1.0,,,,
Bye Bye Parabens ,True,False,False,False,,,,,
CHI,False,False,False,False,,,,,
CLOVE + HALLOW ,True,False,False,False,,,,,
COOLA Suncare,False,False,False,False,,,,,
COOLA Suncare ,False,True,False,False,,,,1.0,
COOLA ,False,True,False,False,1.0,1.0,,,1.0
CORE Cosmetics,False,False,False,False,,,,,
CORPUS ,True,False,False,False,,,,,
CORREXIKO,False,False,False,False,,,,,
COVER FX ,True,False,False,False,,1.0,,,
COVERGIRL ,False,False,True,False,1.0,,,,
CRUX Supply Co,False,False,False,False,,,,,
CUROXEN,False,False,False,False,,,,,
Cadia,False,False,False,False,,,,,
Cailyn Cosmetics,False,False,False,False,,,,,
Caitlin’s Super Natural ,True,False,False,False,,,,,
Cake Beauty ,True,False,False,False,,,,,
Caldrea ,False,False,True,False,,,,,
Caley Cosmetics,False,False,False,False,,,,,
Caroline’s Dream,False,False,False,False,,,,,
Cate McNabb,False,False,False,False,,,,,
Catrice,False,False,False,False,,,,,
Cedar + Stone ,True,False,False,False,,,,,
Ceremonia ,True,False,False,False,,1.0,,,
Certain Dri ,False,False,True,False,,,,,
Charlotte Tilbury,False,False,False,False,,,,,
Charlotte Tilbury ,False,True,False,False,,1.0,,1.0,1.0
"Cheeky Panda, The ",True,False,False,False,,,,,
Chella,False,False,False,False,,,,,
"Chemistry Brand, The ",False,False,True,False,,,,,
Christy Organics ,True,False,False,False,,,,,
Ciaté London,False,False,False,False,,1.0,,,
Clarria Cosmetics,False,False,False,False,,,,,
Clutch Nails ,True,False,False,False,,,,,
Coco & Eve,False,False,False,False,,,,,
Cocokind,False,False,False,False,1.0,,,,
Cocoon Apothecary ,True,False,False,False,,,,,
Cocovit,False,False,False,False,,,,,
Color Club ,True,False,False,False,,,,,
ColorProof ,True,False,False,False,,,,,
Colorevolution,False,False,False,False,,,,,
ColourPop,False,False,False,False,1.0,,,,
ColourPop ,False,False,False,False,,,,,
Coloured Raine ,False,True,False,False,,,1.0,,
Coloured Raine Cosmetics ,False,False,False,True,,,,,
Conair,False,False,False,False,1.0,,,,
Concrete Minerals ,True,False,False,False,,,,,
Conscious Skincare,False,False,False,False,,,,,
Cora,False,False,False,False,,,,,
Counter Culture Clean ,True,False,False,False,,,,,
Cover FX ,True,False,False,False,,,1.0,1.0,
CoverFX ,True,False,False,False,1.0,,,,
Cowshed,False,False,False,False,,,,,
Crazy Rumors ,True,False,False,False,,,,,
