Brand,All_vegan,Partial_vegan,Bad_parent_company,Black_owned,Sephora
"7 Virtues, The ",True,False,False,False,1
8 Greens,False,False,False,False,1
Adwoa Beauty,False,False,False,False,1
Alpyn Beauty,False,False,False,False,1
Amika,False,False,False,False,1
Anastasia Beverly Hills,False,False,False,False,1
Antonym,False,False,False,False,1
Aquis,False,False,False,False,1
Athr Beauty (formerly Aether Beauty) ,True,False,False,False,1
Aveda 100% vegan ,True,False,True,False,1
"Balm, The",False,False,False,False,1
bare Minerals ,False,True,True,False,1
"Beauty Chef, The",False,False,False,False,1
beautyblender,False,False,False,False,1
Bio Ionic,False,False,False,False,1
Biossance ,True,False,False,False,1
Bite Beauty ,True,False,False,False,1
bkr,False,False,False,False,1
Blinc,False,False,False,False,1
Boscia,False,False,False,False,1
Burt’s Bees ,False,False,True,False,1
Buxom ,False,False,True,False,1
Ceremonia ,True,False,False,False,1
Charlotte Tilbury ,False,True,False,False,1
Ciaté London,False,False,False,False,1
COOLA ,False,True,False,False,1
COVER FX ,True,False,False,False,1
Deborah Lippmann,False,False,False,False,1
Dermalogica ,False,False,True,False,1
DevaCurl ,False,False,True,False,1
Drunk Elephant ,False,False,True,False,1
DryBar,False,False,False,False,1
DUO,False,False,False,False,1
Farmacy ,False,False,True,False,1
FARSÁLI ,True,False,False,False,1
Fenty Beauty (list of Fenty Beauty vegan options),False,False,False,False,1
Fenty Skin ,True,False,False,False,1
Floral Street ,True,False,False,False,1
Frank Body,False,False,False,False,1
Freck Beauty ,True,False,False,False,1
Glow Recipe,False,False,False,False,1
Good Dye Young ,True,False,False,False,1
GXVE Beauty ,True,False,False,False,1
Herbivore ,True,False,False,False,1
Hourglass Cosmetics ,False,True,True,False,1
Huda Beauty,False,False,False,False,1
Hum Nutrition,False,False,False,False,1
IGK ,True,False,False,False,1
Indie Lee,False,False,False,False,1
"Inkey List, The",False,False,False,False,1
Isle of Paradise ,True,False,False,False,1
Josie Maran,False,False,False,False,1
Jouer Cosmetics ,False,True,False,False,1
Kitsch ,True,False,False,False,1
Koh Gen Do,False,False,False,False,1
Kopari ,True,False,False,False,1
KORA Organics,False,False,False,False,1
KORRES,False,False,False,False,1
Kosas,False,False,False,False,1
KVD Beauty (formerly Kat Von D Beauty and KVD Vegan Beauty) ,True,False,False,False,1
LAVANILA,False,False,False,False,1
Lawless,False,False,False,False,1
Living Proof,False,False,False,False,1
LXMI ,True,False,False,False,1
LYS Beauty ,True,False,False,False,1
Makeup Eraser ,True,False,False,False,1
MERIT ,True,False,False,False,1
Milk Makeup ,True,False,False,False,1
Moon Juice,False,False,False,False,1
Murad ,False,False,True,False,1
Olaplex ,True,False,False,False,1
Ole Henriksen,False,False,False,False,1
"Ordinary, The ",True,False,True,False,1
Oribe ,False,False,True,False,1
OUAI ,False,False,True,False,1
Paula’s Choice ,False,False,True,False,1
Peace Out,False,False,False,False,1
Perfekt,False,False,False,False,1
Perricone MD,False,False,False,False,1
Pixi Beauty,False,False,False,False,1
Pureology ,False,False,True,False,1
Reverie ,True,False,False,False,1
rms beauty,False,False,False,False,1
Rosebud Perfume Co.,False,False,False,False,1
Skylar ,True,False,False,False,1
Smashbox ,False,True,True,False,1
Sol de Janeiro ,False,True,True,False,1
Stila,False,False,False,False,1
Sunday Riley,False,False,False,False,1
T3,False,False,False,False,1
Tarte ,False,True,True,False,1
Tata Harper ,False,True,False,False,1
Tatcha ,False,False,True,False,1
Too Faced ,False,True,True,False,1
Tower 28 ,True,False,False,False,1
Urban Decay ,False,True,True,False,1
Volition Beauty,False,False,False,False,1
Wander Beauty,False,False,False,False,1
Wishful Skincare,False,False,False,False,1
Youth to the People ,True,False,True,False,1
Zoeva,False,False,False,False,1
