Brand Name,cruelty_free
about-face,False
Acnemy,False
Aēsop,False
Allies of Skin,False
Anastasia Beverly Hills,True
Ariana Grande,False
As I Am,False
Aśani,False
Aurelia London,False
Avène,False
Babe Original,False
BaByliss,False
Babyliss Pro,False
Bala,False
Bare By Vogue,False
Beauty Cooler,False
Beauty Works,False
beautyblender,True
Bed of Nails,False
Bellissima,False
BeYou,False
BH Cosmetics,False
Bleach London,False
Bliss,False
Bondi Sands,False
bPerfect,False
Briogeo,False
Brush Candy,False
Brushworks,False
Bubble Skincare,False
Bumble and bumble,False
By BEAUTY BAY,False
By Wishtrend,False
The Beauty Crop,False
Candy Coat,False
Cantu,False
Carbon Theory,False
CeraVe,False
Cinema Secrets,False
Clinique,False
CLOUD NINE,False
Coco & Eve,False
Coco Cosmetics By Chloe,False
Contour Cube®,False
COSRX,False
Cover FX,False
d.j.v. Miaray,False
Danessa Myricks Beauty,False
Davines,False
Dawsylicious,False
"Dear, Klairs",False
DeoDoc,False
DERMAdoctor,False
Dermalogica,False
DesignME,False
Doll Beauty,False
Dose & Co,False
Dr. Dennis Gross,False
Dr. Jart+,False
Dr. PAWPAW,False
Dragun Beauty,False
e.l.f. Cosmetics,False
Egyptian Magic,False
Embryolisse,False
ESHO.,False
Essie,False
Estée Lauder,False
Everyday Humans,False
Faace,False
Fable & Mane,False
Floral Street,False
florence by mills,False
Foreo,False
Freck,False
Fudge Professional,False
Fur,False
The Fox Tan,False
Ghost,False
Glisten Cosmetics,False
Glow For It,False
Glow Hub,False
Good Dye Young,False
grays.,False
Growth Bomb,False
Hair Syrup,False
Hairburst,False
HAIRtamin,False
Hairvest,False
HALF MAGIC,False
Hank & Henry,False
Hello Sunday,False
Herbivore,False
Higher Education Skincare,False
HigherDOSE,False
Hindash,False
Holika Holika,False
HUM Nutrition,False
hur.,False
I Dew Care,False
I'm From,False
ICONIC London,False
Ilios Lighting,False
INGLOT Cosmetics,False
INKED by Dani,False
Isle Of Paradise,False
ISOCLEAN,False
Jamaican Mango & Lime,False
Jason Wu Beauty,False
Jeffree Star Cosmetics,False
Jennifer Lopez,False
Josh Wood Colour,False
Jouer Cosmetics,False
K18 Hair,False
KASH Beauty,False
KeraCare,False
Kevyn Aucoin,False
KIKI Health,False
KimChi Chic Beauty,False
Kitsch,True
Kopari Beauty,False
L.A. Girl,False
Laboratory Perfumes,False
Laneige,False
LastObject,False
Lelo,False
Les Secrets De Loly,False
Lethal Cosmetics,False
LH Cosmetics,False
Lilly Lashes,False
Lola's Lashes,False
LORAC,False
Loving Tan,False
MAC Cosmetics,False
Made By Mitchell,False
Maison Matine,False
Makeup Fridge,False
Makeup Revolution,False
Mane 'n Tail,False
Mario Badescu,True
Martine Cosmetics,False
Maude,False
Maybelline,False
Megababe,False
Mehron,False
Melt Cosmetics,True
Mermade Hair,False
Mielle Organics,False
MIJ Masks,False
Milani,False
Mine Tan,False
MONDAY Haircare,False
Moon Juice,False
MoYou London,False
My VIV,False
Mylee,False
NABLA,False
Naked Sundays,False
Nanshy,False
NEOGEN,False
NEOM,False
NIOD,False
No Knot Co,False
Noughty,False
NUDESTIX,False
Nursem,False
NYX Professional Makeup,False
The Nue Co.,False
Ofra,False
Oh K!,False
OLAPLEX,False
Origins,False
OYO Skincare,False
The Oh Collective,False
The Ordinary,False
Paintlab,False
Peace Out,False
Peter Thomas Roth,False
Philip Kingsley,False
Physicians Formula,False
Pink Honey,False
Pink Sugar,False
Planet Pleasure,False
Planet Revolution,False
Pley Beauty,False
Psychic Sisters,False
Puissante,False
RapidLash,False
RCMA,True
Retrouvailles Paris,False
Revlon,False
Revolution Haircare,False
Revolution Pro,False
Revolution Skincare,False
Therabody,False
Sample Beauty,False
Sand & Sky,False
Satisfyer,False
Self Love,False
SeventyOne Percent,False
Shay & Blue,False
Shea Moisture,False
Shrine,False
Sigma Beauty,True
SILKE London,False
Skin Gym,False
Skin Proud,False
Skindinavia,False
Skins,False
Slip,False
Smile Makers,False
So Eco,False
Soak Sunday,False
Soda,False
SolaWave,False
Solgar,False
Sophie Hannah Hair,False
SOSU Cosmetics,False
Spacemasks,False
Spectrum Collections,False
Spotlight Oral Care,False
St.Tropez,False
Starface,False
Sun Bum,False
Sunday Rain,False
Superfluid,False
Supergoop!,False
Suva Beauty,False
Sweed,False
T3,True
TAN-LUXE,False
Tanologist,False
Thank You Farmer,False
The Beauty Crop,False
The Fox Tan,False
The Nue Co.,False
The Oh Collective,False
The Ordinary,False
Therabody,False
Tommy Hilfiger,False
TONYMOLY,False
Too Faced,False
Trigwell Cosmetics,False
Trixie Cosmetics,False
Tweezerman,False
Uberliss,False
UKLASH,False
Ultra Violette,False
Ultrasun,False
Umberto Giannini,False
Unbound,False
Unicorn Cosmetics,False
UpCircle Beauty,False
Urban Decay,False
Vanity Planet,False
Viseart,False
Vital Proteins,False
VUSH,False
Who Is Elijah,False
Wylera Hair,False
XX Revolution,False
Yes To,True
Youthforia,False
Zitsticka,False
ZOEVA,False
