Brand_info,All_vegan,Partial_vegan,Bad_parent_company,in_not_cruelty_free_ulta
About Face – 100% vegan,True,False,False,False
Ace Beauté,False,False,False,False
ACURE – 100% vegan,True,False,False,False
AG Care – 100% vegan,True,False,False,False
Anastasia Beverly Hills,False,False,False,False
Andalou Naturals,False,False,False,False
Aquis,False,False,False,False
Arctic Fox – 100% vegan,True,False,False,False
Ardell,False,False,False,False
Ariana Grande,False,False,False,False
Axiology – 100% vegan,True,False,False,False
Babo Botanicals,False,False,False,True
bare Minerals (list of bare Minerals vegan products) – Parent company is not cruelty-free.,False,True,True,False
Beast,False,False,False,False
Beauty Bakerie,False,False,False,False
beautyblender,False,False,False,False
BH Cosmetics,False,False,False,False
Bio Ionic,False,False,False,False
Bliss,False,False,False,False
"Body Shop, The",False,False,False,False
Boscia,False,False,False,False
Briogeo – Parent company is not cruelty-free.,False,False,True,False
Burt’s Bees – Parent company is not cruelty-free.,False,False,True,False
Buxom – Parent company is not cruelty-free.,False,False,True,False
Cocokind,False,False,False,False
ColourPop,False,False,False,False
Conair,False,False,False,False
COOLA (list of COOLA vegan products),False,True,False,False
CoverFX – 100% vegan,True,False,False,False
COVERGIRL – Parent company is not cruelty-free. ,False,False,True,False
DefineMe Fragrance – 100% vegan,True,False,False,False
Derma E – 100% vegan,True,False,False,False
Dermablend – Parent company is not cruelty-free. ,False,False,True,False
Dermalogica – Parent company is not cruelty-free. ,False,False,True,False
DevaCurl – Parent company is not cruelty-free. ,False,False,True,False
DryBar,False,False,False,False
Eco Tools,False,False,False,False
ELF Cosmetics,False,False,False,False
Ella + Mila,False,False,False,False
EOS,False,False,False,False
Eva NYC,False,False,False,False
Every Man Jack,False,False,False,False
Eylure,False,False,False,False
Fenty Beauty,False,False,False,False
Flower Beauty,False,False,False,False
Fourth Ray Beauty – 100% vegan,True,False,False,False
Frank Body (list of Frank Beauty vegan products),False,True,False,False
Garnier – Parent company is not cruelty-free.,False,False,True,False
HAN Skincare Cosmetics,False,False,False,True
Hask,False,False,False,False
Hello Products – 100% vegan. Parent company is not cruelty-free.,True,False,True,False
Hempz,False,False,False,False
Heritage Store,False,False,False,False
Hourglass Cosmetics – Parent company is not cruelty-free.,False,False,True,False
House of Lashes,False,False,False,False
Hynt Beauty,False,False,False,False
IGK -100% vegan,True,False,False,False
Indie Lee,False,False,False,False
It’s a 10,False,False,False,False
J.R. Watkins,False,False,False,True
Jane Iredale,False,False,False,False
Josie Maran,False,False,False,False
Juice Beauty – 100% vegan,True,False,False,False
Keys Soulcare,False,False,False,False
Kinship,False,False,False,False
Kitsch – 100% vegan,True,False,False,False
Kopari (list of Kopari vegan products),False,True,False,False
KORRES,False,False,False,False
KVD Beauty – 100% vegan,True,False,False,False
Kylie Cosmetics – Parent company is not cruelty-free.,False,False,True,False
Kylie Skin – Parent company is not cruelty-free.,False,False,True,False
LAVANILA,False,False,False,False
Lime Crime – 100% vegan,True,False,False,False
Loving Tan – 100% vegan,True,False,False,False
Mad Hippie – 100% vegan,True,False,False,False
Makeup Eraser – 100% vegan,True,False,False,False
Makeup Revolution,False,False,False,False
Manic Panic – 100% vegan,True,False,False,False
